Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Flags
TCP,10.0.2.4,38183,10.0.2.5,1069,S
TCP,10.0.2.4,38183,10.0.2.5,1213,S
TCP,10.0.2.4,38183,10.0.2.5,2043,S
TCP,10.0.2.4,38183,10.0.2.5,32779,S
TCP,10.0.2.4,38183,10.0.2.5,2047,S
TCP,10.0.2.4,38183,10.0.2.5,646,S
TCP,10.0.2.4,38183,10.0.2.5,1183,S
TCP,10.0.2.4,38183,10.0.2.5,3851,S
TCP,10.0.2.4,38183,10.0.2.5,19315,S
TCP,10.0.2.4,38183,10.0.2.5,14442,S
TCP,10.0.2.4,38183,10.0.2.5,5510,S
TCP,10.0.2.4,38183,10.0.2.5,2135,S
TCP,10.0.2.4,38183,10.0.2.5,8000,S
TCP,10.0.2.5,6003,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1074,S
TCP,10.0.2.5,65129,10.0.2.4,38183,AR
TCP,10.0.2.5,1069,10.0.2.4,38183,AR
TCP,10.0.2.5,1213,10.0.2.4,38183,AR
TCP,10.0.2.5,2043,10.0.2.4,38183,AR
TCP,10.0.2.5,32779,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,10629,S
TCP,10.0.2.4,38183,10.0.2.5,5101,S
TCP,10.0.2.4,38183,10.0.2.5,7200,S
TCP,10.0.2.4,38183,10.0.2.5,1417,S
TCP,10.0.2.4,38183,10.0.2.5,5544,S
TCP,10.0.2.4,38183,10.0.2.5,32771,S
TCP,10.0.2.4,38183,10.0.2.5,5730,S
TCP,10.0.2.4,38183,10.0.2.5,9594,S
TCP,10.0.2.4,38183,10.0.2.5,1914,S
TCP,10.0.2.4,38183,10.0.2.5,7741,S
TCP,10.0.2.5,2047,10.0.2.4,38183,AR
TCP,10.0.2.5,646,10.0.2.4,38183,AR
TCP,10.0.2.5,1183,10.0.2.4,38183,AR
TCP,10.0.2.5,3851,10.0.2.4,38183,AR
TCP,10.0.2.5,19315,10.0.2.4,38183,AR
TCP,10.0.2.5,14442,10.0.2.4,38183,AR
TCP,10.0.2.5,5510,10.0.2.4,38183,AR
TCP,10.0.2.5,2135,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1031,S
